"question","answer"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 32 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 33 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 34 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 35 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 36 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 37 luật giao thông đường bộ"
"Chương 2: QUY TẮC GIAO THÔNG ĐƯỜNG BỘ","Điều 38 luật giao thông đường bộ"
"Chương 4: Phương tiện tham gia giao thông đường bộ","Điều 53 luật giao thông đường bộ"
"Chương 4: Phương tiện tham gia giao thông đường bộ","Điều 54 luật giao thông đường bộ"
"Chương 4: Phương tiện tham gia giao thông đường bộ","Điều 55 luật giao thông đường bộ"
"Chương 4: Phương tiện tham gia giao thông đường bộ","Điều 56 luật giao thông đường bộ"
"Chương 4: Phương tiện tham gia giao thông đường bộ","Điều 57 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 64 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 65 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 66 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 67 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 68 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 69 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 70 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 71 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 72 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 73 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 74 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 75 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 76 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 77 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 78 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 79 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 80 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 81 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 82 luật giao thông đường bộ"
"Chương 6: VẬN TẢI ĐƯỜNG BỘ","Điều 83 luật giao thông đường bộ"
"điều 2 quy định xử phạt hành chính giao thông đường bộ quy định gì","khoản 1 điều 2 quy định xử phạt hành chính giao thông đường bộ"
"điều 2 quy định xử phạt hành chính giao thông đường bộ quy định gì","khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ"
"điều 2 quy định xử phạt hành chính giao thông đường bộ quy định gì","khoản 3 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"điều 2 quy định xử phạt hành chính giao thông đường bộ quy định gì","khoản 4 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ","khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ","khoản 2 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ","khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ","khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ","khoản 3 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ","khoản 4 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm a khoản 2 điều 2  quy định xử phạt hành chính giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm b khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm c khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm d khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm đ khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm e khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm g khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm h khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 2 quy định xử phạt hành chính giao thông đường bộ","điểm i khoản 2 điều 2 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm a khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm b khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm c khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm d khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 3 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm e khoản 1 điều 3"
"khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm a khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm b khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm c khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm d khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm đ khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm e khoản 1 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ"
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm a khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm b khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm c khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm d khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm đ khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm e khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm g khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm h khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm i khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm k khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm l khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm m khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm n khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm o khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm p khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm q khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm r khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm s khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm t khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm u khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm v khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm x khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ ","điểm y khoản 2 điều 4 quy định xử phạt hành chính trong lĩnh vực giao thông đường bộ "
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","Điều 39. Phân loại đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 40 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 41 luật giao thông đường bộ "
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 42 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 43 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 44 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 45 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 46 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 47 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 48 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 49 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 50 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 51 luật giao thông đường bộ"
"Chương 3. KẾT CẤU HẠ TẦNG GIAO THÔNG ĐƯỜNG BỘ","điều 52 luật giao thông đường bộ"
"điều 40 luật giao thông đường bộ","khoản 1 điều 40 luật giao thông"
"điều 40 luật giao thông đường bộ","khoản 2 điều 40 luật giao thông"
"điều 41 luật giao thông đường bộ ","trách nhiệm của các bộ trong điều 41"
"điều 41 luật giao thông đường bộ ","khoản 1 điều 41 luật giao thông"
"điều 41 luật giao thông đường bộ ","khoản 2 điều 42 luật giao thông "
"điều 41 luật giao thông đường bộ ","khoản 3 điều 42 luật giao thông"
"điều 41 luật giao thông đường bộ ","khoản 4 điều 42 luật giao thông"
"điều 42 luật giao thông đường bộ","khoản 1 điều 42 luật giao thông"
"điều 42 luật giao thông đường bộ","khoản 2 điều 42 luật giao thông"
"điều 43 luật giao thông đường bộ","khoản 1 điều 43 luật giao thông đường bộ "
"điều 43 luật giao thông đường bộ","khoản 2 điều 43 luật giao thông đường bộ "
"điều 43 luật giao thông đường bộ","khoản 3 điều 43 luật giao thông"
"điều 43 luật giao thông đường bộ","khoản 4 điều 43 luật giao thông"
"điều 43 luật giao thông đường bộ","khoản 5 điều 43 luật giao thông "
"điều 44 luật giao thông đường bộ","khoản 1 điều 44 luật giao thông"
"điều 44 luật giao thông đường bộ","khoản 2 điều 44 luật giao thông"
"điều 44 luật giao thông đường bộ","khoản 3 điều 44 luật giao thông"
"điều 44 luật giao thông đường bộ","khoản 4 điều 44 luật giao thông"
"điều 44 luật giao thông đường bộ","khoản 5 điều 44 luật giao thông"
"điều 45 luật giao thông đường bộ","khoản 1 điều 45 luật giao thông"
"điều 45 luật giao thông đường bộ","khoản 2 điều 45 luật giao thông"
"điều 45 luật giao thông đường bộ","khoản 3 điều 45 luật giao thông"
"điều 46 luật giao thông đường bộ","khoản 1 điều 46 luật giao thông đường bộ"
"điều 46 luật giao thông đường bộ","khoản 2 điều 46 luật giao thông đường bộ"
"điều 46 luật giao thông đường bộ","khoản 3 điều 46 luật giao thông đường bộ"
"điều 46 luật giao thông đường bộ","khoản 4 điều 46 luật giao thông đường bộ"
"điều 46 luật giao thông đường bộ","khoản 5 điều 46 luật giao thông đường bộ"
"điều 47 luật giao thông đường bộ","khoản 1 điều 47 luật giao thông"
"điều 47 luật giao thông đường bộ","khoản 2 điều 47 luật giao thông"
"điều 47 luật giao thông đường bộ","khoản 3 điều 47 luật giao thông"
"điều 47 luật giao thông đường bộ","khoản 4 điều 47 luật giao thông"
"điều 48 luật giao thông đường bộ","khoản 1 điều 48 luật giao thông"
"điều 48 luật giao thông đường bộ","khoản 2 điều 48 luật giao thông"
"điều 48 luật giao thông đường bộ","khoản 3 điều 48 luật giao thông"
"điều 48 luật giao thông đường bộ","khoản 4 điều 48 luật giao thông"
"điều 49 luật giao thông đường bộ","khoản 1 điều 49 luật giao thông"
"điều 49 luật giao thông đường bộ","khoản 2 điều 49 luật giao thông"
"điều 49 luật giao thông đường bộ","khoản 3 điều 49 luật giao thông"
"điều 51 luật giao thông đường bộ","khoản 1 điều 51 luật giao thông đường bộ"
"điều 51 luật giao thông đường bộ","khoản 2 điều 51 luật giao thông đường bộ"
"điều 51 luật giao thông đường bộ","khoản 3 điều 51 luật giao thông đường bộ"
"điều 51 luật giao thông đường bộ","khoản 4 điều 51 luật giao thông đường bộ"
"điều 51 luật giao thông đường bộ","khoản 5 điều 51 luật giao thông đường bộ"
"điều 52 luật giao thông đường bộ","khoản 1 điều 52 luật giao thông "
"điều 52 luật giao thông đường bộ","khoản 2 điều 52 luật giao thông "
"điều 52 luật giao thông đường bộ","khoản 3 điều 52 luật giao thông "
"điều 52 luật giao thông đường bộ","khoản 4 điều 52 luật giao thông "
"điều 52 luật giao thông đường bộ","khoản 5 điều 52 luật giao thông "
"điều 58 luật giao thông đường bộ","khoản 1 điều 58 luật giao thông"
"điều 58 luật giao thông đường bộ","khoản 2 điều 58 luật giao thông"
"điều 60 luật giao thông đường bộ","khoản 1 điều 60 luật giao thông"
"điều 60 luật giao thông đường bộ","khoản 2 điều 60 luật giao thông"
"điều 61 luật giao thông đường bộ","khoản 1 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 2 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 3 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 4 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 5 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 6 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 7 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 8 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 9 điều 61 luật giao thông đường bộ"
"điều 61 luật giao thông đường bộ","Khoản 10 điều 61 luật giao thông đường bộ"
"điều 62 luật giao thông đường bộ","khoản 1 điều 62 luật giao thông"
"điều 62 luật giao thông đường bộ","khoản 2 điều 62 luật giao thông"
"Chương 7. Quản lý nhà nước về giao thông đường bộ","điều 84 luật giao thông đường bộ "
"Chương 7. Quản lý nhà nước về giao thông đường bộ","điều 85 luật giao thông đường bộ "
"Chương 7. Quản lý nhà nước về giao thông đường bộ","điều 86 luật giao thông đường bộ "
"Chương 7. Quản lý nhà nước về giao thông đường bộ","điều 87 luật giao thông đường bộ "
"điều 84 luật giao thông đường bộ ","khoản 1 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 2 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 3 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 4 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 5 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 6 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 7 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 8 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 9 điều 84 luật giao thông đường bộ"
"điều 84 luật giao thông đường bộ ","khoản 10 điều 84 luật giao thông đường bộ"
"điều 85 luật giao thông đường bộ ","khoản 1 điều 85 luật giao thông đường bộ"
"điều 85 luật giao thông đường bộ ","khoản 2 điều 85 luật giao thông đường bộ"
"điều 85 luật giao thông đường bộ ","khoản 3 điều 85 luật giao thông đường bộ"
"điều 85 luật giao thông đường bộ ","khoản 4 điều 85 luật giao thông đường bộ"
"điều 85 luật giao thông đường bộ ","khoản 5 điều 85 luật giao thông đường bộ"
"điều 85 luật giao thông đường bộ ","khoản 6 điều 85 luật giao thông đường bộ"
"điều 86 luật giao thông đường bộ ","khoản 1 điều 86 luật giao thông đường bộ"
"điều 86 luật giao thông đường bộ ","khoản 2 điều 86 luật giao thông đường bộ"
"điều 86 luật giao thông đường bộ ","khoản 3 điều 86 luật giao thông đường bộ"
"điều 87 luật giao thông đường bộ ","khoản 1 điều 87 luật giao thông đường bộ"
"điều 87 luật giao thông đường bộ ","khoản 2 điều 87 luật giao thông đường bộ"
"điều 87 luật giao thông đường bộ ","khoản 3 điều 87 luật giao thông đường bộ"
